@relation matrizes
@attribute p0 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute p22 numeric
@attribute p23 numeric
@attribute p24 numeric
@attribute p25 numeric
@attribute p26 numeric
@attribute p27 numeric
@attribute p28 numeric
@attribute p29 numeric
@attribute p30 numeric
@attribute p31 numeric
@attribute p32 numeric
@attribute p33 numeric
@attribute p34 numeric
@attribute p35 numeric
@attribute p36 numeric
@attribute p37 numeric
@attribute p38 numeric
@attribute p39 numeric
@attribute p40 numeric
@attribute p41 numeric
@attribute p42 numeric
@attribute p43 numeric
@attribute p44 numeric
@attribute p45 numeric
@attribute p46 numeric
@attribute p47 numeric
@attribute p48 numeric
@attribute p49 numeric
@attribute p50 numeric
@attribute p51 numeric
@attribute p52 numeric
@attribute p53 numeric
@attribute p54 numeric
@attribute p55 numeric
@attribute p56 numeric
@attribute p57 numeric
@attribute p58 numeric
@attribute p59 numeric
@attribute p60 numeric
@attribute p61 numeric
@attribute p62 numeric
@attribute p63 numeric
@attribute p64 numeric
@attribute p65 numeric
@attribute p66 numeric
@attribute p67 numeric
@attribute p68 numeric
@attribute p69 numeric
@attribute p70 numeric
@attribute p71 numeric
@attribute p72 numeric
@attribute p73 numeric
@attribute p74 numeric
@attribute p75 numeric
@attribute p76 numeric
@attribute p77 numeric
@attribute p78 numeric
@attribute p79 numeric
@attribute p80 numeric
@attribute p81 numeric
@attribute p82 numeric
@attribute p83 numeric
@attribute p84 numeric
@attribute p85 numeric
@attribute p86 numeric
@attribute p87 numeric
@attribute p88 numeric
@attribute p89 numeric
@attribute p90 numeric
@attribute p91 numeric
@attribute p92 numeric
@attribute p93 numeric
@attribute p94 numeric
@attribute p95 numeric
@attribute p96 numeric
@attribute p97 numeric
@attribute p98 numeric
@attribute p99 numeric
@attribute p100 numeric
@attribute p101 numeric
@attribute p102 numeric
@attribute p103 numeric
@attribute p104 numeric
@attribute p105 numeric
@attribute p106 numeric
@attribute p107 numeric
@attribute p108 numeric
@attribute p109 numeric
@attribute p110 numeric
@attribute p111 numeric
@attribute p112 numeric
@attribute p113 numeric
@attribute p114 numeric
@attribute p115 numeric
@attribute p116 numeric
@attribute p117 numeric
@attribute p118 numeric
@attribute p119 numeric
@attribute p120 numeric
@attribute p121 numeric
@attribute p122 numeric
@attribute p123 numeric
@attribute p124 numeric
@attribute p125 numeric
@attribute p126 numeric
@attribute p127 numeric
@attribute p128 numeric
@attribute p129 numeric
@attribute p130 numeric
@attribute p131 numeric
@attribute p132 numeric
@attribute p133 numeric
@attribute p134 numeric
@attribute p135 numeric
@attribute p136 numeric
@attribute p137 numeric
@attribute p138 numeric
@attribute p139 numeric
@attribute p140 numeric
@attribute p141 numeric
@attribute p142 numeric
@attribute p143 numeric
@attribute p144 numeric
@attribute p145 numeric
@attribute p146 numeric
@attribute p147 numeric
@attribute p148 numeric
@attribute p149 numeric
@attribute p150 numeric
@attribute p151 numeric
@attribute p152 numeric
@attribute p153 numeric
@attribute p154 numeric
@attribute p155 numeric
@attribute p156 numeric
@attribute p157 numeric
@attribute p158 numeric
@attribute p159 numeric
@attribute p160 numeric
@attribute p161 numeric
@attribute p162 numeric
@attribute p163 numeric
@attribute p164 numeric
@attribute p165 numeric
@attribute p166 numeric
@attribute p167 numeric
@attribute p168 numeric
@attribute p169 numeric
@attribute p170 numeric
@attribute p171 numeric
@attribute p172 numeric
@attribute p173 numeric
@attribute p174 numeric
@attribute p175 numeric
@attribute p176 numeric
@attribute p177 numeric
@attribute p178 numeric
@attribute p179 numeric
@attribute p180 numeric
@attribute p181 numeric
@attribute p182 numeric
@attribute p183 numeric
@attribute p184 numeric
@attribute p185 numeric
@attribute p186 numeric
@attribute p187 numeric
@attribute p188 numeric
@attribute p189 numeric
@attribute p190 numeric
@attribute p191 numeric
@attribute p192 numeric
@attribute p193 numeric
@attribute p194 numeric
@attribute p195 numeric
@attribute p196 numeric
@attribute p197 numeric
@attribute p198 numeric
@attribute p199 numeric
@attribute p200 numeric
@attribute p201 numeric
@attribute p202 numeric
@attribute p203 numeric
@attribute p204 numeric
@attribute p205 numeric
@attribute p206 numeric
@attribute p207 numeric
@attribute p208 numeric
@attribute p209 numeric
@attribute p210 numeric
@attribute p211 numeric
@attribute p212 numeric
@attribute p213 numeric
@attribute p214 numeric
@attribute p215 numeric
@attribute p216 numeric
@attribute p217 numeric
@attribute p218 numeric
@attribute p219 numeric
@attribute p220 numeric
@attribute p221 numeric
@attribute p222 numeric
@attribute p223 numeric
@attribute p224 numeric
@attribute p225 numeric
@attribute p226 numeric
@attribute p227 numeric
@attribute p228 numeric
@attribute p229 numeric
@attribute p230 numeric
@attribute p231 numeric
@attribute p232 numeric
@attribute p233 numeric
@attribute p234 numeric
@attribute p235 numeric
@attribute p236 numeric
@attribute p237 numeric
@attribute p238 numeric
@attribute p239 numeric
@attribute p240 numeric
@attribute p241 numeric
@attribute p242 numeric
@attribute p243 numeric
@attribute p244 numeric
@attribute p245 numeric
@attribute p246 numeric
@attribute p247 numeric
@attribute p248 numeric
@attribute p249 numeric
@attribute p250 numeric
@attribute p251 numeric
@attribute p252 numeric
@attribute p253 numeric
@attribute p254 numeric
@attribute p255 numeric
@attribute class {stroma,epithelium,unknown}
@data

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,161,205,4,0,0,0,0,0,0,0,0,0,0,0,5,13,15,1195,1338,42,0,0,0,0,0,0,0,0,0,0,0,185,161,169,11942,6776,24,0,0,0,0,0,0,0,0,0,0,277,306,358,2146,43519,7028,7,0,0,0,0,0,0,0,1,5,26,557,505,352,7891,53224,3723,1,0,0,0,0,0,0,0,1,3,295,215,439,337,9697,45781,1353,4,0,0,0,0,0,0,1,2,13,159,108,72,181,7179,18936,128,0,0,0,0,0,0,0,0,0,26,0,18,1,24,1336,1566,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,204,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1140,364,0,0,0,0,0,0,0,0,0,0,0,0,0,42,86,4522,6591,19,0,0,0,0,0,0,0,0,0,0,1,43,890,1273,92706,22492,19,0,0,0,0,0,0,0,0,0,1,4,798,926,13423,140240,10187,7,0,0,0,0,0,0,0,0,0,0,122,482,527,21102,92420,3778,1,0,0,0,0,0,0,0,0,1,4,327,296,366,17464,50518,923,1,0,0,0,0,0,0,0,0,1,17,189,159,120,7760,12544,230,0,0,0,0,0,0,0,0,0,0,71,26,94,93,1432,3743,44,0,0,0,0,0,0,0,0,0,1,12,10,7,19,521,1168,14,0,0,0,0,0,0,0,0,0,5,1,0,0,2,354,740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,147,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,346,477,2,0,0,0,0,0,0,0,0,0,0,0,6,95,103,15259,5180,3,0,0,0,0,0,0,0,0,0,0,4,391,459,2366,49133,3637,6,0,0,0,0,0,0,0,0,0,1,76,327,295,4374,35216,2649,0,0,0,0,0,0,0,0,0,0,1,243,241,239,5627,37232,1541,0,0,0,0,0,0,0,0,0,1,16,174,196,141,4676,18905,883,1,0,0,0,0,0,0,0,0,0,137,168,238,119,2235,8521,355,0,0,0,0,0,0,0,1,2,9,141,70,87,148,1087,3989,22,0,0,0,0,0,0,0,0,0,9,2,11,2,8,678,952,0,0,0,0,0,0,0,0,0,0,3,1,2,4,5,604,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,420,817,25,0,0,0,0,0,0,0,0,0,0,0,1,67,113,5497,4378,27,0,0,0,0,0,0,0,0,0,0,0,135,169,656,29851,8708,24,0,0,0,0,0,0,0,0,0,3,57,428,422,4644,60143,4997,8,0,0,0,0,0,0,0,0,0,2,363,345,330,11366,41366,1167,2,0,0,0,0,0,0,0,1,1,68,242,234,223,7261,12123,252,0,0,0,0,0,0,0,0,1,3,133,102,174,141,2536,4051,150,0,0,0,0,0,0,0,0,0,5,89,43,64,97,818,3118,32,0,0,0,0,0,0,0,0,0,33,22,42,13,45,527,973,6,0,0,0,0,0,0,0,0,0,26,3,27,0,28,78,271,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,388,135,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1263,592,5,0,0,0,0,0,0,0,0,0,0,0,1,27,134,8282,11590,64,2,0,0,0,0,0,0,0,0,0,0,90,1319,2107,164610,48782,58,1,0,0,0,0,0,0,0,0,0,1,1297,1508,24971,328798,26450,24,0,0,0,0,0,0,0,0,0,5,202,848,927,49140,226245,8433,14,0,0,0,0,0,0,0,0,0,4,376,365,430,41686,107100,2665,14,0,0,0,0,0,0,0,0,0,19,158,160,203,14073,31892,2233,12,0,0,0,0,0,0,0,0,0,68,47,99,72,3801,20615,1809,6,0,0,0,0,0,0,0,0,4,68,34,35,47,2703,14501,1046,7,0,0,0,0,0,0,0,0,10,18,15,15,37,2301,10635,421,0,0,0,0,0,0,0,0,0,39,2,31,2,45,1717,4918,99,0,0,0,0,0,0,0,0,0,0,2,0,3,9,1043,5899,156,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1293,1425,epithelium

