@relation matrizes
@attribute p0 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute p22 numeric
@attribute p23 numeric
@attribute p24 numeric
@attribute p25 numeric
@attribute p26 numeric
@attribute p27 numeric
@attribute p28 numeric
@attribute p29 numeric
@attribute p30 numeric
@attribute p31 numeric
@attribute p32 numeric
@attribute p33 numeric
@attribute p34 numeric
@attribute p35 numeric
@attribute p36 numeric
@attribute p37 numeric
@attribute p38 numeric
@attribute p39 numeric
@attribute p40 numeric
@attribute p41 numeric
@attribute p42 numeric
@attribute p43 numeric
@attribute p44 numeric
@attribute p45 numeric
@attribute p46 numeric
@attribute p47 numeric
@attribute p48 numeric
@attribute p49 numeric
@attribute p50 numeric
@attribute p51 numeric
@attribute p52 numeric
@attribute p53 numeric
@attribute p54 numeric
@attribute p55 numeric
@attribute p56 numeric
@attribute p57 numeric
@attribute p58 numeric
@attribute p59 numeric
@attribute p60 numeric
@attribute p61 numeric
@attribute p62 numeric
@attribute p63 numeric
@attribute class {stroma,epithelium,unknown}
@data

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,183,36,0,0,0,0,1,10,28,5240,350,0,0,0,0,1,306,170,24716,415,0,0,0,1,16,1202,885,141801,658,0,0,0,0,257,30,3992,37787,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,543,45,0,0,0,0,0,1,176,7350,601,0,0,0,0,1,274,597,37270,614,0,0,0,0,2,388,1576,37993,60,0,0,0,0,4,67,617,3612,0,0,0,0,0,0,0,2,0,epithelium

0,2,0,0,0,0,0,0,75,37294,1209,0,0,0,0,0,1,2234,130670,1687,0,0,0,0,0,12,4545,139368,634,0,0,0,0,0,303,2739,58465,141,0,0,0,0,0,159,1210,14102,2,0,0,0,0,0,0,166,1212,0,0,0,0,0,0,0,9,31,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,73,0,0,0,0,0,0,32,5063,299,0,0,0,0,0,62,183,14256,480,0,0,0,0,1,398,366,47483,1509,0,0,0,1,18,1252,2266,166957,221,0,0,0,0,123,88,3051,24063,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,51,0,0,0,0,0,0,26,3861,249,0,0,0,0,0,30,204,12452,490,0,0,0,0,1,243,324,29194,644,0,0,0,0,23,1158,1116,136336,459,0,0,0,1,259,46,5062,32232,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1412,194,0,0,0,0,0,0,104,11755,581,0,0,0,0,0,85,525,29810,591,0,0,0,0,1,845,1112,72544,591,0,0,0,1,36,347,2797,33012,10,0,0,0,0,11,0,103,340,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,15,0,0,0,0,0,0,287,36318,592,0,0,0,0,1,508,2187,91753,260,0,0,0,0,1,289,995,31140,211,0,0,0,0,13,201,653,13932,3,0,0,0,1,81,14,53,1040,epithelium

0,0,0,0,0,0,0,0,0,45,9,0,0,0,0,0,0,16,4368,613,0,0,0,0,0,2,360,43523,3870,0,0,0,0,1,403,2238,204413,4622,0,0,0,0,2,1128,9003,205942,679,0,0,0,0,25,412,6067,54975,44,0,0,0,1,16,18,641,4164,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7,0,0,0,0,0,1,88,6383,243,0,0,0,0,0,180,674,50667,636,0,0,0,0,1,657,1350,77325,197,0,0,0,1,15,353,917,35236,283,0,0,0,0,145,6,1264,23101,epithelium

0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,445,79,0,0,0,0,0,0,27,2055,192,0,0,0,0,0,32,76,5144,327,0,0,0,0,0,148,222,25191,891,0,0,0,0,15,975,1072,111984,755,0,0,0,3,509,32,6019,46306,stroma

0,0,0,0,0,0,0,0,0,144,5,0,0,0,0,0,0,13,10378,437,0,0,0,0,0,4,753,197875,5568,0,0,0,0,1,1264,8929,890744,5868,0,0,0,0,0,2061,20462,800525,4099,0,0,0,2,43,964,14724,329996,425,0,0,0,0,66,17,3660,61805,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,125,0,0,0,0,0,3,212,10935,1219,0,0,0,0,0,163,534,32629,737,0,0,0,0,1,731,1156,72170,1603,0,0,0,2,52,566,3760,95569,57,0,0,0,0,28,3,917,4562,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,50,0,0,0,0,0,3,487,30034,2689,0,0,0,0,0,682,2043,157879,1134,0,0,0,0,1,343,5101,57715,132,0,0,0,0,9,63,682,8892,24,0,0,0,0,13,0,256,3322,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,19,704,184,0,0,0,0,0,56,260,21449,731,0,0,0,0,0,698,1037,72516,298,0,0,0,1,23,299,1712,17098,17,0,0,0,1,45,32,165,8310,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1070,184,0,0,0,0,0,0,114,8441,547,0,0,0,0,0,112,429,21635,573,0,0,0,0,2,649,769,55181,1283,0,0,0,1,27,678,2545,101220,36,0,0,0,0,33,0,834,3439,stroma

0,0,0,0,0,0,0,0,0,937,101,0,0,0,0,0,0,755,86275,1053,0,0,0,0,0,49,4160,77483,76,0,0,0,0,0,78,493,8694,33,0,0,0,0,0,10,172,3781,7,0,0,0,0,2,3,47,532,1,0,0,0,1,14,79,22,903,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,25,0,0,0,0,0,0,48,2844,209,0,0,0,0,0,76,158,8566,271,0,0,0,0,0,259,250,13171,311,0,0,0,3,2,439,653,35359,50,0,0,0,0,88,19,661,4476,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,759,186,0,0,0,0,0,3,384,25571,838,0,0,0,0,0,255,1391,58849,883,0,0,0,0,1,478,2165,66101,104,0,0,0,0,5,34,929,6162,5,0,0,0,1,40,47,25,1643,epithelium

0,0,0,0,0,0,0,0,8,9832,1151,0,0,0,0,0,2,2107,157757,142,0,0,0,0,0,17,1774,9420,10,0,0,0,0,0,41,72,2101,16,0,0,0,0,0,5,64,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,279,28,0,0,0,0,0,0,58,2337,75,0,0,0,0,1,94,221,8328,174,0,0,0,0,3,380,295,20634,103,0,0,0,0,6,105,609,7706,0,0,0,0,0,0,0,58,115,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,844,60,0,0,0,0,0,0,79,2643,172,0,0,0,0,1,111,190,8403,320,0,0,0,0,1,309,333,21109,694,0,0,0,0,6,545,802,61429,254,0,0,0,0,178,45,1949,19229,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,17,0,0,0,0,0,0,39,2613,94,0,0,0,0,0,94,183,7956,164,0,0,0,0,2,258,225,14660,129,0,0,0,1,13,328,596,20128,16,0,0,0,0,26,0,219,1353,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1008,87,0,0,0,0,0,2,111,4947,193,0,0,0,0,0,73,194,9286,135,0,0,0,0,3,437,360,19482,121,0,0,0,1,19,132,538,7762,1,0,0,0,0,0,0,19,19,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,0,86,5030,184,0,0,0,0,0,153,417,22188,150,0,0,0,0,2,260,540,7628,8,0,0,0,0,18,48,125,682,0,0,0,0,1,29,12,9,27,epithelium

0,0,0,0,0,0,0,0,0,50,13,0,0,0,0,0,0,47,10759,1822,0,0,0,0,0,5,1467,151692,4638,0,0,0,0,0,743,7248,199249,1123,0,0,0,0,0,434,5478,87010,370,0,0,0,1,14,178,2055,17799,4,0,0,0,1,8,0,86,510,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,746,65,0,0,0,0,0,0,123,12744,784,0,0,0,0,0,141,701,40529,429,0,0,0,0,1,332,1234,44491,261,0,0,0,1,30,259,1341,11972,8,0,0,0,2,89,247,65,3449,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,68,0,0,0,0,0,0,76,3788,297,0,0,0,0,0,83,210,8489,272,0,0,0,0,0,283,256,16459,290,0,0,0,4,8,606,926,47744,26,0,0,0,0,7,0,834,1995,stroma

0,0,0,0,0,0,0,0,0,24,18,0,0,0,0,0,0,86,11878,1381,0,0,0,0,0,4,703,49144,2080,0,0,0,0,0,241,1601,78989,1155,0,0,0,0,2,1118,3485,150153,733,0,0,0,2,25,268,5252,51602,0,0,0,0,0,0,0,19,37,stroma

